,epoch_1_pred,epoch_1_labels
10,"[[-0.28044063 -0.29900715  0.02781987  0.128706   -0.3770449 ]
 [-0.38523012  0.05629174 -0.14805181  0.20932962 -0.10030822]
 [-0.6351915   0.09516763 -0.14413218  0.2451888  -0.36920425]
 [-0.33818388  0.05335983 -0.07396102  0.10837641 -0.12561774]
 [-0.02481023 -0.40941614  0.0968987   0.26243362 -0.46766445]
 [-0.505161    0.05308364 -0.20461898  0.18070929 -0.12546523]
 [-0.17424135 -0.14524671  0.00370387  0.00669481  0.32389605]
 [-0.17830399 -0.08985107 -0.09121859  0.02536111  0.24428473]]",[2 4 1 1 4 4 4 2]
11,"[[-0.0777987  -0.13341017 -0.03518943 -0.0077719   0.22659092]
 [-0.12866916 -0.13140307 -0.11600419  0.16683458 -0.06379565]
 [-0.2317189  -0.17110834 -0.05050324  0.13534467 -0.05234872]
 [-0.70177656  0.2834781  -0.21259715  0.20991907 -0.3056684 ]
 [-0.40828678 -0.06872869 -0.06477197  0.14676586 -0.13556878]
 [-0.06067559 -0.20299375  0.02329355  0.06304734 -0.28848723]
 [-0.33978808 -0.04775722 -0.00525452  0.301883   -0.5405056 ]
 [-0.37713915  0.02887985 -0.02612295  0.15843919 -0.30127466]]",[2 1 3 2 4 0 0 1]
12,"[[-0.51171654  0.28344887 -0.27841067  0.0176057   0.12530495]
 [-0.59852064  0.2529649  -0.21068937  0.22785033 -0.3645036 ]
 [-0.24439864 -0.16871202  0.02293124  0.12886082 -0.1677283 ]
 [-0.53568256  0.22666077 -0.2849777   0.00991252  0.20417686]
 [-0.6378453   0.15392135 -0.1805778   0.19414169 -0.27518657]
 [-0.23397362 -0.06002973 -0.02758924  0.12556158 -0.1734642 ]
 [-0.47606483  0.17762552 -0.1251319   0.16817036 -0.19625987]
 [-0.4063602  -0.03709745 -0.11580029  0.1822414  -0.06326326]]",[3 2 4 4 1 1 0 2]
13,"[[-0.4698918   0.14197585 -0.22486146  0.08242184  0.09269436]
 [-0.37420133 -0.0111745   0.00433229  0.20631848 -0.35404682]
 [-0.15258446 -0.09045903 -0.09933795  0.09564473 -0.08802913]
 [-0.42816967  0.00601691 -0.03724943  0.15444021 -0.04916257]
 [-0.34625542  0.04443932  0.02083343  0.12952228 -0.19052081]
 [-0.19704556 -0.20729177 -0.01578055 -0.06157288  0.2253658 ]
 [-0.361037    0.10095364 -0.06972815  0.19037287 -0.29343036]
 [-0.38194555  0.11801139 -0.04208861  0.04434517 -0.08730313]]",[1 1 4 3 1 2 1 1]
14,"[[-0.24048339 -0.02498766 -0.05236196  0.06859086  0.18775108]
 [-0.03376746 -0.21025851 -0.00231604 -0.04246606  0.34691322]
 [-0.4936491   0.2265604  -0.13785738  0.24745429 -0.42892265]
 [-0.52257717  0.3550572  -0.23860773  0.00450012 -0.00154864]
 [-0.25913444  0.05736714 -0.13609916  0.28077552 -0.2777851 ]
 [-0.4830645   0.20997092 -0.15714723  0.14261317 -0.22000611]
 [-0.6101528   0.24154972 -0.20402835  0.19755074 -0.18272227]
 [-0.19195698 -0.25453004 -0.06498774 -0.02945439  0.20132542]]",[3 2 3 3 1 1 1 3]
15,"[[-0.32034904 -0.03222438 -0.10949116  0.17365852 -0.14547089]
 [-0.25309446 -0.21865886  0.01665831  0.15715936 -0.17999385]
 [-0.4775239   0.08481818 -0.10255026  0.23538622 -0.3501013 ]
 [-0.30688807 -0.11262708 -0.04777667  0.06118304  0.15167606]
 [-0.1982892  -0.22713584  0.08110484  0.00078721  0.04321674]
 [-0.2896162  -0.04211263 -0.00809466  0.13410859 -0.11634185]
 [-0.5118951   0.18252274 -0.14021201  0.11500189 -0.11799437]
 [-0.5206483   0.15746257 -0.17305802  0.08713577 -0.13396658]]",[3 2 4 2 0 3 1 1]
16,"[[-0.2695214  -0.02364294 -0.08983773  0.03061329  0.0241114 ]
 [-0.54761267  0.00577459 -0.15870097  0.13284923  0.09499404]
 [-0.5914738   0.03397802 -0.08112309  0.26589602 -0.38396528]
 [-0.395297   -0.01712607 -0.1065458   0.13764222 -0.23392768]
 [-0.04410666 -0.11302271  0.01233741  0.01001877 -0.02654698]
 [-0.1639297  -0.24393407 -0.02212618  0.00323381 -0.04288832]
 [-0.6948645   0.16420813 -0.23469904  0.13635527 -0.00814736]
 [-0.4277976   0.03191694 -0.03634614  0.23485947 -0.53855854]]",[3 4 2 1 3 4 4 2]
17,"[[-0.4743263   0.14384457 -0.16360535  0.1275413  -0.27756685]
 [-0.2448388  -0.22580324 -0.02651603  0.07920725 -0.11149366]
 [-0.5131873   0.16345873 -0.15956114  0.15586683 -0.2054805 ]
 [-0.31264487 -0.00176225 -0.08002969  0.1345593  -0.20655061]
 [-0.6457553   0.19034615 -0.10251377  0.05646998 -0.0547234 ]
 [-0.22867574 -0.06705976 -0.04545951  0.00585538  0.20031394]
 [-0.6107029   0.21872039 -0.09326895  0.1600281  -0.40527567]
 [-0.10494746 -0.04042534 -0.11509227  0.1037654  -0.07175846]]",[1 4 1 4 3 2 0 4]
18,"[[-0.2804441  -0.06733944  0.00215743  0.02405717  0.29345867]
 [-0.53640825  0.29611793 -0.28158993  0.05083501  0.0345858 ]
 [-0.10199019 -0.01755463  0.00711339  0.10510211 -0.30165142]
 [-0.75270444  0.23026343 -0.16619624  0.10463159 -0.28733066]
 [-0.37358788 -0.02926892 -0.07123955 -0.0043004   0.09719   ]
 [-0.18599641 -0.1687947  -0.04460628  0.02913196  0.17313656]
 [-0.4105684  -0.01753218 -0.12003217  0.06199399  0.38016224]
 [-0.2678353  -0.19565104  0.02385044 -0.01878325  0.3000322 ]]",[2 1 2 2 4 4 2 0]
19,"[[-0.38229442  0.04669268 -0.20323664  0.19390306  0.00875467]
 [-0.09992288 -0.29663557  0.11266991  0.08180522 -0.35197812]
 [-0.6333386   0.33548826 -0.25179958  0.15760463 -0.09089085]
 [-0.3818404   0.02419145 -0.06700969  0.13859259 -0.07125967]
 [-0.31627887 -0.00283697 -0.01095684  0.15504584 -0.1031173 ]
 [-0.11696032 -0.13424824  0.05373961  0.10192861 -0.17644797]
 [-0.64620984  0.09880305 -0.14878482  0.16035974 -0.13399865]
 [-0.32329503 -0.08944121  0.01338056  0.15578482 -0.28214583]]",[1 2 4 2 1 0 2 4]
20,"[[-0.45520908 -0.04889046 -0.04985737  0.0783982   0.05617248]
 [-0.3264674  -0.18522933 -0.02079963  0.03613699 -0.00799467]
 [-0.55606514  0.31821695 -0.13720763  0.16477197 -0.40210477]
 [-0.22551288 -0.20795158  0.02254916  0.13646731 -0.17519364]
 [-0.32110724  0.06779941 -0.11232622  0.04747583 -0.00593371]
 [-0.44139832  0.02652337 -0.04476184  0.03778859 -0.13108973]
 [-0.39475104  0.03660043 -0.05114902  0.05501086 -0.17824984]
 [-0.43664515  0.14333509 -0.0897878   0.03829027 -0.02942771]]",[2 4 4 1 4 4 4 4]
21,"[[-0.14508145 -0.19061151  0.02656814  0.10289707  0.05015223]
 [-0.2719694  -0.02990602 -0.0472441   0.10086609  0.15615578]
 [-0.43768468  0.18431191 -0.12610191  0.07234932  0.09363834]
 [-0.59107155  0.17933784 -0.18768199  0.09987215 -0.13849299]
 [-0.48995572  0.08177778 -0.1514911   0.12920871 -0.28516397]
 [-0.6886149   0.36793023 -0.19545616  0.13601394 -0.34187743]
 [-0.2786087  -0.12239972 -0.02172462  0.13762274  0.05369375]
 [-0.64486706  0.10697268 -0.1007896   0.08722838 -0.22054301]]",[3 4 3 3 4 1 4 4]
22,"[[-0.22926927 -0.10399083 -0.10215914  0.08005773  0.07401057]
 [-0.48338714  0.17963934 -0.10491272  0.14151552 -0.21418206]
 [-0.3819825  -0.01290912 -0.08076791  0.09044226 -0.09992196]
 [-0.05337932 -0.24834166  0.0658992   0.10001943 -0.19714704]
 [-0.52014077  0.23667516 -0.14352983  0.04071071  0.08297286]
 [-0.2851111  -0.17677365  0.05951565 -0.00865038  0.03500822]
 [-0.5507287   0.20285639 -0.14235564  0.05868385 -0.2152511 ]
 [-0.6126966   0.4156785  -0.2920109   0.01471644  0.3115698 ]]",[1 3 3 1 1 2 1 3]
23,"[[-0.4585836   0.07795391 -0.08545546  0.13656858 -0.07492195]
 [-0.3239723   0.0027299  -0.11165659  0.12770298  0.11309333]
 [-0.50760275  0.15460745 -0.10068394  0.06622298  0.18903734]
 [-0.38639027 -0.13225052 -0.03090143  0.05072324  0.16707481]
 [-0.6935827   0.46258238 -0.30999622  0.10734823 -0.16997442]
 [-0.25734758 -0.00469085 -0.0884286   0.0739684  -0.17663279]
 [-0.40105507 -0.02021207 -0.08593598  0.10345215 -0.17554256]
 [-0.57828814  0.2863211  -0.2566428  -0.0681082   0.36812752]]",[1 3 3 2 3 4 4 2]
24,"[[-0.39040345 -0.12844896 -0.05064725 -0.01395032 -0.0311928 ]
 [-0.2297102  -0.19759749  0.03467413  0.05663636  0.02881508]
 [-0.75185156  0.44136956 -0.23910204  0.04361096 -0.14286695]
 [-0.26753813 -0.15828878  0.05837727  0.02927227  0.29651034]
 [-0.65503514  0.17475064 -0.13763022  0.09629485 -0.03507582]
 [-0.01469078 -0.41702554  0.13471355  0.15876326 -0.40269586]
 [-0.4954034  -0.01801375  0.01690326  0.0649341  -0.15766656]
 [-0.19056636 -0.17328389  0.05730993  0.12002867 -0.09349848]]",[3 4 1 2 3 0 2 3]
25,"[[-0.5941136   0.31150806 -0.1777871   0.16461235 -0.38135347]
 [-0.35659704  0.0310269  -0.03730612  0.05189412 -0.07730941]
 [-0.41538885  0.11488512 -0.14656185  0.17643552 -0.27914295]
 [-0.43342716  0.00329617  0.04354518  0.03511812 -0.12040035]
 [-0.7012303   0.20469794 -0.16716197  0.11040319 -0.26046845]
 [-0.27439952 -0.16098714 -0.00926358  0.04665666 -0.08381147]
 [-0.48129174  0.06872591 -0.13758063  0.03201281  0.1383824 ]
 [-0.3935154   0.03725551 -0.0176001   0.15906535 -0.29616502]]",[3 1 4 1 2 2 4 4]
26,"[[-0.34732613 -0.03529347 -0.04596588  0.12235268 -0.27261853]
 [-0.34136862 -0.02328449 -0.03721676  0.04898018  0.14124633]
 [-0.21342216 -0.0191243  -0.08718902  0.16409467 -0.09648681]
 [-0.37921602 -0.03993541 -0.00281392  0.16549025 -0.16055833]
 [-0.565521    0.22180645 -0.19885372  0.07678404  0.19003393]
 [-0.5365877   0.08743894 -0.10957534  0.14789365 -0.20146981]
 [-0.23905623 -0.17317991  0.0473516  -0.02505213  0.26939604]
 [-0.49857292  0.2738054  -0.11274941  0.18065526 -0.34865668]]",[1 3 3 1 4 2 2 3]
27,"[[-0.26985547 -0.14350304  0.08974589  0.05894234 -0.05691547]
 [-0.2663862  -0.00773123 -0.11256432 -0.01013204  0.10090813]
 [-0.61168116  0.22836496 -0.10970683  0.10293983 -0.37781054]
 [-0.3616201  -0.0124374  -0.07468729  0.13451609 -0.1306094 ]
 [-0.25918412 -0.1627603  -0.06057182  0.07002164 -0.2284635 ]
 [-0.66406226  0.29156485 -0.18454961  0.01759837  0.1094649 ]
 [-0.5145173  -0.11657966 -0.01818096  0.0494103  -0.38413283]
 [-0.604349    0.02859677 -0.00273942  0.1275139  -0.2854793 ]]",[4 3 1 1 4 3 2 0]
28,"[[-0.5561322   0.27999434 -0.13668154  0.11885285 -0.40042272]
 [-0.28541943 -0.05166404  0.01141512 -0.01359713  0.18290229]
 [-0.74212873  0.3119051  -0.09698777  0.04404731 -0.21489689]
 [-0.6409145  -0.02649004 -0.05873802  0.03113659  0.07199756]
 [-0.8110871   0.26113507 -0.16202681  0.06181313  0.1269345 ]
 [-0.30229023 -0.10623629 -0.05983856 -0.00226272  0.23137997]
 [-0.4175681   0.02136417 -0.06537724  0.0854834   0.11989463]
 [-0.30246815 -0.14274482 -0.02091627  0.05017638  0.04686293]]",[3 2 2 3 2 0 1 4]
29,"[[-0.3249429   0.02180349 -0.04102403  0.10382464  0.03489542]
 [-0.5087142   0.02264328 -0.12874188  0.06070507  0.03795981]
 [-0.4206807   0.00525584 -0.11749621  0.06417923 -0.08059172]
 [-0.38372728  0.04342468 -0.08940253  0.06754402 -0.14125739]
 [-0.37653184 -0.04653842 -0.07013164  0.05301873 -0.14780484]
 [-0.16008992 -0.04301016 -0.03737773  0.1315846  -0.24520338]
 [-0.37755945 -0.0896116   0.09523558  0.03794823 -0.19049917]
 [-0.05226891 -0.23555525  0.04034614 -0.01893532 -0.02231562]]",[3 2 4 4 3 0 1 4]
30,"[[-0.5789992   0.28896698 -0.14705257  0.10601795 -0.3654766 ]
 [-0.6053052   0.09070479 -0.1186154   0.11594898 -0.15817325]
 [-0.56636906  0.08224262 -0.07445938  0.10796159 -0.13669595]
 [-0.622793    0.00927107 -0.11467437  0.1613556  -0.07791506]
 [-0.43279785 -0.11024271 -0.01728012  0.11983506 -0.06862461]
 [-0.6022665   0.13954847 -0.17748047  0.03131932  0.39172184]
 [-0.6441514   0.30389923 -0.15216598  0.06373675 -0.08304983]
 [-0.31145477  0.05457892 -0.10999329  0.17636247 -0.25333613]]",[2 2 1 3 4 3 4 2]
31,"[[-0.45736268  0.15095587 -0.05510514  0.12496758 -0.22322416]
 [-0.17617713 -0.21187389  0.03624981 -0.00528283  0.32976532]
 [-0.45268548 -0.10725344  0.04743968  0.19477992 -0.20667633]
 [-0.08539478 -0.16168305  0.00077961  0.14801572 -0.03040215]
 [-0.32523724 -0.0571752  -0.01667675  0.08534147 -0.2275804 ]
 [-0.5821817   0.09347752 -0.01422027  0.10958093 -0.07238763]
 [-0.38978806 -0.02227352 -0.10562579  0.13863318  0.02293554]
 [-0.66515225  0.17126769 -0.10942107  0.12202959 -0.00868331]]",[1 3 1 1 3 3 3 2]
32,"[[-0.40969467 -0.06361741 -0.03756249  0.13590854 -0.2621244 ]
 [-0.38847858  0.10343934 -0.1036965   0.17161295 -0.2615792 ]
 [-0.5074354  -0.07372831 -0.06790748  0.13244908 -0.05061701]
 [-0.36395854  0.06203334 -0.07262263  0.04865559 -0.06563599]
 [-0.53112864 -0.06513467 -0.05728451  0.17258413 -0.03390325]
 [-0.41054484  0.02706509 -0.1538966   0.1878865  -0.11593185]
 [-0.22623362 -0.1384822   0.05913398  0.19367413 -0.23683208]
 [-0.3068322   0.00317827 -0.0737261   0.10595872  0.04753277]]",[1 3 2 2 2 1 3 1]
33,"[[-0.54500395 -0.01151376 -0.05133081  0.09420975  0.07060538]
 [-0.3070064  -0.15253928  0.03420347  0.05113107 -0.0935967 ]
 [-0.51581293  0.16509777 -0.08378442 -0.01400865  0.21770783]
 [-0.4584734   0.14201201 -0.12560117  0.02286565 -0.08206902]
 [-0.35664552 -0.05685982  0.06458857 -0.05884776 -0.00183148]
 [-0.50521064  0.03259092 -0.00432234  0.20604661 -0.18288012]
 [-0.577423    0.20564806 -0.1481857   0.12636824 -0.14984801]
 [-0.42976826 -0.05095805  0.05007147  0.10886791 -0.2051683 ]]",[0 4 3 3 2 0 1 1]
34,"[[-0.459018    0.17054099 -0.15836605  0.11093056  0.038185  ]
 [-0.5342071   0.12314552 -0.09004035  0.19674358 -0.3573415 ]
 [-0.37375262 -0.00136051 -0.06469283  0.06371145 -0.19462584]
 [-0.26195145 -0.08489058 -0.06403437  0.05352267  0.36170903]
 [-0.38682812 -0.02760298 -0.003722    0.11025958  0.00840868]
 [-0.1287963  -0.15901142 -0.0244962   0.05793551 -0.03677945]
 [-0.70288515  0.34929505 -0.13553223  0.09883326 -0.20745862]
 [-0.5301036   0.19727854 -0.05246999  0.08141151 -0.12888175]]",[3 1 2 3 4 3 4 3]
35,"[[-0.5442209   0.11314871 -0.1638676   0.06339903  0.27308893]
 [-0.30493945 -0.16826555 -0.03123453  0.10026692  0.18849583]
 [-0.42034233  0.02184865 -0.06541421  0.09441082 -0.15694559]
 [-0.22017545 -0.41772354  0.13290086  0.19395298 -0.26765236]
 [-0.5743048   0.11924676 -0.09551595  0.03091154 -0.23194629]
 [-0.47372097  0.03187697 -0.14410439  0.142386   -0.02822037]
 [-0.31186947 -0.10128126 -0.02013785  0.1830924  -0.26221964]
 [-0.35854274  0.00660724 -0.08431781  0.12855981 -0.21436903]]",[4 3 4 3 1 3 2 2]
36,"[[-0.55736125 -0.00842462 -0.08360989  0.22029658  0.04430621]
 [-0.23430783 -0.06144906  0.00421961  0.11184377 -0.0495375 ]
 [-0.6910009   0.2104835  -0.13602677  0.12328286  0.21404776]
 [-0.6031055   0.18496682 -0.05199869  0.176416   -0.13239415]
 [-0.8631215   0.47535312 -0.21221584  0.05800961 -0.17779091]
 [-0.7123333   0.20024456 -0.16576838  0.05328796  0.28180906]
 [-0.8854975   0.4637463  -0.15320882  0.04804854 -0.11902487]
 [-0.6651421   0.19890402 -0.09685713  0.1777387  -0.1547324 ]]",[1 0 2 1 1 3 0 3]
37,"[[-0.34844828 -0.42312837  0.11272032  0.12369053 -0.1911952 ]
 [-0.655932    0.03559271 -0.11397842  0.06544186 -0.02915564]
 [-0.2702815  -0.206763    0.02182206  0.08038422 -0.07933478]
 [-0.14254567 -0.18069616  0.00840267  0.06061059  0.01603767]
 [-0.4279336   0.13287546 -0.07411113  0.05786433 -0.15941402]
 [-0.41119987 -0.17962918  0.11099954  0.1388779  -0.22653836]
 [-0.35457835  0.02672371 -0.05077645  0.12526539 -0.16695355]
 [-0.784433    0.54904777 -0.23542956  0.07557347 -0.22166829]]",[3 4 3 4 1 4 4 2]
38,"[[-0.42226192 -0.03896667 -0.01482584  0.02564354 -0.13770817]
 [-0.23452038 -0.0190311  -0.02095529  0.04791325  0.17694333]
 [-0.5494152   0.06948334 -0.01571704  0.08480345 -0.07279611]
 [-0.64533573  0.21885347 -0.05218893  0.1322448   0.01444741]
 [-0.74656534  0.29382092 -0.16970113  0.11159224 -0.2907136 ]
 [-0.72315526  0.24983208 -0.15589334  0.19615357 -0.16244875]
 [-0.41860917  0.0983908  -0.05189718  0.0420743   0.04053513]
 [-0.3252785  -0.08003113  0.01986377  0.1575345   0.0084573 ]]",[3 4 4 3 3 4 3 4]
39,"[[-0.7569382   0.13640821 -0.10259564  0.0570897   0.09243133]
 [-0.00305388 -0.33165172  0.1148525   0.05848     0.13381714]
 [-0.57597303  0.1959265  -0.09955975  0.17617007 -0.30723658]
 [-0.334376   -0.356336    0.14749601  0.06941217  0.24790236]
 [-0.73991245  0.29027513 -0.15134774  0.09486816  0.22428505]
 [-0.49854028  0.01139178 -0.05930424  0.17294773 -0.31483057]
 [-0.556346    0.21564381 -0.13410082  0.11884955 -0.34121415]
 [-0.73097146  0.16906548 -0.05587636  0.10585642  0.13961385]]",[2 2 1 2 4 3 1 4]
40,"[[-0.3340158  -0.00428932 -0.04666946  0.19007795 -0.0415306 ]
 [-0.54669076  0.14903662 -0.08398429  0.09656745 -0.1494435 ]
 [-0.6008029   0.05462911 -0.06384812  0.08662821  0.06478234]
 [-0.51894903  0.09101079 -0.02485046  0.06132283 -0.23067829]
 [-0.14016731 -0.2405411   0.04440643  0.15460698  0.0175164 ]
 [-0.9012126   0.39720184 -0.1668544   0.082663   -0.01304736]
 [-0.3829447  -0.06108777  0.02097087  0.12999737  0.03967241]
 [-0.1670772  -0.25626552  0.07579391  0.10784163  0.16352193]]",[1 4 4 4 3 1 2 2]
41,"[[-0.5177104   0.21087644 -0.10739545  0.07555249  0.16485684]
 [-0.82984984  0.21143839 -0.09965865  0.12852457 -0.23632737]
 [-0.731695    0.15491766 -0.07776897  0.05494736  0.05526279]
 [-0.6719699   0.17702326 -0.15228313  0.18994595 -0.16726227]
 [-0.20109697 -0.14994557  0.06787089  0.08059394 -0.04555516]
 [-0.41287813  0.11971029 -0.09181957  0.17688674 -0.04418823]
 [-0.60948235  0.29253444 -0.10433197  0.13971744 -0.1610892 ]
 [-0.5861418  -0.02134799  0.03836966  0.10257874  0.25103664]]",[0 3 4 1 0 3 1 4]
42,"[[-6.38349354e-01 -7.61772469e-02  2.42588781e-02  1.03244886e-01
  -8.74213502e-02]
 [-4.17753041e-01 -1.19003735e-01 -2.94954225e-04  1.11975633e-01
  -1.90701634e-01]
 [-2.98359454e-01 -2.42377788e-01  1.07403375e-01  7.58313611e-02
   9.94126126e-02]
 [-2.50046760e-01 -7.68512562e-02  4.88044806e-02  1.17253706e-01
  -1.39966294e-01]
 [-7.22064734e-01  2.87508637e-01 -2.05753013e-01  1.09471478e-01
   1.45722300e-01]
 [-2.05218911e-01 -2.32526705e-01  1.25411928e-01  1.10850900e-01
   1.68043727e-04]
 [-5.12298584e-01 -5.74089289e-02 -9.19119492e-02  1.31426111e-01
   1.18829697e-01]
 [-7.04980910e-01 -3.17705870e-02  6.97667673e-02  1.13004796e-01
  -1.69153661e-01]]",[4 4 2 1 4 3 4 1]
43,"[[-0.44701087  0.00763172 -0.10362858  0.20433855 -0.2900155 ]
 [-0.47437808 -0.01919713 -0.07384565  0.11796239 -0.15341042]
 [-0.80874246  0.35675913 -0.13395092  0.06619143 -0.15061833]
 [-0.5377727   0.03712843 -0.05081901  0.10291201  0.04396116]
 [-0.6453837   0.09322862 -0.07151477  0.11782432 -0.04305958]
 [-0.6530696   0.28007135 -0.19124055  0.12315257 -0.2512007 ]
 [-0.7819799   0.3030631  -0.21903265  0.1237666   0.14840518]
 [-0.48331633  0.06237028 -0.01777943  0.10327261 -0.16948625]]",[1 2 4 4 3 1 3 2]
