,epoch_1_pred,epoch_1_labels
10,"[[-3.0464087  -0.21109073 -1.8830379  -2.449696    0.03651866]
 [-3.424829    0.3823544  -3.217082   -3.2693107  -0.05491245]
 [-0.8474456   0.9850976  -1.1159061  -1.7305971   0.15044361]
 [ 0.01719991 -0.7421686  -3.470977    0.08560912 -0.11188573]
 [-0.9477716  -1.2795994  -2.2693505  -2.5185983  -1.0414943 ]
 [-0.01508043 -1.9527214  -1.2033672  -1.0399935  -4.296634  ]
 [-2.903961   -2.2144697  -0.1959919  -2.7719836  -2.116361  ]
 [-2.5922604  -0.8835997   1.5013487  -3.6577144  -1.4270406 ]]",[4 4 0 1 3 0 3 3]
11,"[[-0.9347037  -0.55235094 -3.4361758  -1.6249511   0.45204842]
 [-4.780634   -1.3581647  -1.396454   -3.3408277   1.4091542 ]
 [-0.73562527 -2.7759137  -1.5126398  -1.0370133  -0.10902403]
 [-1.1993362  -0.6312527  -0.28811046 -3.560423   -1.3427576 ]
 [-0.9204083  -1.0467315  -1.9376507  -1.685684   -1.7425855 ]
 [-3.3386483  -2.653388    0.08787449 -1.031265   -0.07842369]
 [-2.1713395   0.97169614 -1.3996724  -1.2976406  -2.4304886 ]
 [-1.6666182  -1.2251658  -1.5351454   0.05716137 -1.6797093 ]]",[4 3 1 1 2 3 2 3]
12,"[[ 0.41232306 -2.12964    -1.3693982  -1.9608707  -1.5084188 ]
 [-1.6736405  -1.1260368  -0.93066823 -0.3373775   0.7231899 ]
 [-0.7581876  -1.6439486  -1.4517592  -1.2311605  -3.365439  ]
 [-4.2743373  -1.1559609  -0.4630192  -3.2725685  -0.93917674]
 [-2.143673   -0.7827601  -1.4569297  -1.8688154  -3.5969286 ]
 [-1.1782405  -0.23458341  0.3807818   0.07512287 -2.7251413 ]
 [-3.9362404  -2.9528322  -0.36191532  0.11321325 -3.1739743 ]
 [-5.2558665  -1.2849934   0.41867194 -1.856398   -1.6010221 ]]",[4 2 3 3 0 2 3 3]
13,"[[-0.1892803  -0.7025317  -1.7815042  -0.8618566  -1.606344  ]
 [-2.5012405  -2.1193295  -3.4705849   0.19322427 -2.7653155 ]
 [-1.575259   -0.97335136 -0.07176273 -3.1881108  -3.0192618 ]
 [-3.9620168   1.6696984  -1.5034301  -0.98487055 -2.095948  ]
 [-3.516331   -2.6905956  -0.98560804 -1.0311674  -1.2466817 ]
 [-1.0523648  -0.8194429   0.20091344 -3.3445196  -2.845048  ]
 [-3.2689838   2.8840795  -4.3228855  -2.3995404  -0.8231085 ]
 [-3.7417724  -1.5695525  -2.5341902  -3.4221685   1.0241072 ]]",[2 1 2 4 3 2 2 3]
14,"[[-3.1466424  -2.4945867  -0.00722232 -1.9533865  -3.0049052 ]
 [-3.3470242  -1.282253   -1.0441545  -2.397084   -1.8320011 ]
 [-1.7821466  -0.31159118 -1.2823135  -1.2183324   0.04196623]
 [-2.8840315  -0.4551707  -0.15294084 -0.72063303 -1.0440024 ]
 [-1.4800764   0.6083585  -2.167598   -3.1345243  -2.9858267 ]
 [-1.4403305  -3.6526744  -0.8802324   0.9856941  -0.94847715]
 [-2.4003131  -3.3687067  -0.61262673 -0.51270956 -0.13454393]
 [-2.48628    -0.60238534 -0.79827595 -1.7167017  -1.4804463 ]]",[3 3 1 3 2 1 3 2]
15,"[[-1.71496    -0.16195424 -1.2150723  -2.205048   -1.0668391 ]
 [-5.0603642   0.64287305 -2.060003   -3.828741   -1.3456035 ]
 [ 1.5836346  -0.62613076 -3.947442   -0.19617549  0.12728035]
 [-3.6908023  -0.9080978  -2.8394616  -1.1504414  -0.81201357]
 [-0.1327578   0.32154137 -0.6212715  -2.40668    -0.35928577]
 [-1.7287245  -1.3162841  -1.6374354  -4.0711684  -0.95339894]
 [-4.4388313  -0.17330751 -0.84635544 -2.671005    0.36403215]
 [-4.331386   -2.2073216  -1.3601844  -2.085958   -0.9628169 ]]",[1 1 1 1 4 2 1 4]
16,"[[-2.396349   -0.43423823 -2.4140654  -1.8575618  -2.0316443 ]
 [-4.0602136  -1.1408163  -0.2144434  -2.177441   -1.6596313 ]
 [-4.279849    0.26917458 -0.58337057 -2.939358   -1.25023   ]
 [-3.3983743  -1.8927995   0.19776317 -0.3291871  -1.1645156 ]
 [-3.3757215   0.28305593 -4.5864997  -1.2524719  -2.1527557 ]
 [-1.4277817  -3.2957428  -2.931229   -2.9549448   0.15033433]
 [-1.8052163   0.402341    0.51679224 -1.4409074   0.01233627]
 [-3.5401201  -0.9146609   0.98288316 -0.8217732  -2.1402993 ]]",[4 3 4 3 1 1 1 0]
17,"[[-1.8295757   2.7078307   0.9425261  -1.7180824  -3.0593174 ]
 [-5.311584    2.5774388  -2.9061222  -1.0198658   1.7808747 ]
 [-2.2806911  -0.50004625 -3.872807   -0.15782443 -1.3162428 ]
 [-3.5155823  -1.1472379   0.9253783  -4.140111   -1.5817761 ]
 [-2.466737    0.25213426 -2.7851422  -1.482231   -1.872349  ]
 [-3.0201523   0.946417   -1.1130404  -1.6704667  -2.0490603 ]
 [-2.827109   -0.07436638 -1.6050756  -1.9604073  -2.49475   ]
 [-3.828204    0.14656647 -1.7178004  -2.3649733  -0.7917056 ]]",[2 3 1 4 1 3 4 4]
18,"[[-3.1526835  -1.7810974  -0.09682228 -2.2986941  -3.235575  ]
 [-2.1489465  -1.6666863  -2.8129735  -1.6776628   1.1591045 ]
 [-3.1290042   1.0946221   0.51915234 -3.7325976  -2.5890884 ]
 [ 0.3571323  -2.2007372   0.07641003 -3.1231675  -0.9930118 ]
 [-1.5538813   0.7663247  -0.12732181 -0.8420647  -2.5006695 ]
 [-2.9308577  -0.30176252  1.6223931  -3.3121395  -2.3865647 ]
 [-2.6993687  -0.02680324  1.9104307  -2.044244   -2.3563466 ]
 [-5.67653    -0.56573486 -1.1419867  -2.9920886  -2.0348697 ]]",[2 1 2 2 2 2 2 3]
19,"[[-3.8755879e-01 -1.4081207e-01 -1.7151914e+00 -3.7349418e-01
   2.2936296e-01]
 [-1.4104924e+00 -1.2788180e-01 -2.4227884e-03 -5.2734727e-01
  -1.9215273e+00]
 [-3.1224687e+00  6.3013607e-01  3.5832682e-01 -1.3151671e+00
  -3.4525692e+00]
 [-2.8896523e+00 -1.0025905e+00 -2.2588942e+00 -1.9118563e+00
  -1.8918244e+00]
 [-3.3302760e+00 -1.6109816e+00 -1.2105976e+00 -6.8682402e-01
   1.8629527e-01]
 [-2.4795439e+00 -1.2611245e+00 -4.5666170e-01  5.3919387e-01
  -1.9604501e+00]
 [ 5.6520653e-01  8.6411787e-03  2.1637814e-01 -5.4588479e-01
  -1.5267504e+00]
 [-2.4069352e+00 -7.9778332e-01  1.9998820e-01 -1.0702481e+00
  -4.2444117e-02]]",[4 2 2 1 3 2 2 3]
20,"[[-2.7772415   0.6581439  -0.6043214   0.91391295 -1.6261017 ]
 [-3.9552238   0.31645685 -1.0759785  -1.8444456  -0.2662737 ]
 [-2.4650605  -0.59615153 -2.4282374  -1.6154844  -2.4392636 ]
 [-5.709505   -1.4529591   1.6397334  -2.1994455  -0.8014057 ]
 [-0.854746   -1.6100359  -1.3061072   0.02256568 -2.180802  ]
 [-3.526189   -1.5219872  -0.84735096 -2.6757162  -2.3819184 ]
 [-4.732249   -1.8108705   0.62027127 -0.7930211  -1.853132  ]
 [-3.984251   -1.1491139  -2.0221982  -1.3807093   0.9306006 ]]",[2 1 2 3 4 2 2 3]
21,"[[-3.4414568  -1.0935336  -0.25597093 -0.41987753 -2.1945574 ]
 [-2.7466877  -1.9808564  -2.4847214  -1.152022    1.1385142 ]
 [-1.8133597  -2.6968443  -0.7580858  -0.61032635 -0.21876267]
 [-3.6047864  -2.227578    0.26988918 -0.6490638  -1.1708357 ]
 [-3.1550603  -1.4928895  -0.22397873  1.2466363  -2.4629357 ]
 [-2.1576252  -2.12482    -0.53894913 -3.0340903  -1.6195568 ]
 [-3.6757674  -1.5010037   0.28956878 -2.2105296  -1.7559612 ]
 [-1.663386   -2.8294666  -2.1533327  -1.1745095  -1.984375  ]]",[3 3 4 2 4 3 4 2]
22,"[[-2.379923   -2.4838428   2.0505042   1.016562    0.7054359 ]
 [-1.7682115  -2.3046172   1.0760494  -2.214605   -1.2339702 ]
 [-1.4670311  -1.6867399   2.4903576  -1.6171535  -3.5687814 ]
 [-2.9064887  -2.51386     2.8325272  -0.89276904 -4.5511885 ]
 [-3.750415   -2.3734608  -0.12396307 -0.8847419  -0.15721232]
 [-3.3328748  -0.15534341 -2.276445   -1.1638907  -2.2803628 ]
 [ 1.9210457   0.9098034   0.20568725 -2.0092304   1.2897356 ]
 [ 0.14893317 -0.9921905  -2.1484818   0.04204038 -1.0401776 ]]",[4 0 2 2 1 2 2 3]
23,"[[-3.8844872   0.74553376  1.4951899  -1.2446066  -1.2439542 ]
 [-4.0244036  -1.208318   -0.16211152 -0.2787889  -0.24057442]
 [-2.6481004   0.12067524  0.6139063  -1.2106155   1.5718379 ]
 [-3.4997668  -0.50556487 -1.7519232  -0.8537769   0.21378088]
 [-4.1489935  -1.3667734  -1.1766733  -1.0097198  -1.1289138 ]
 [-4.482142   -3.1380177  -0.712445   -0.0216202  -0.6445731 ]
 [-2.9802241  -2.7783592  -2.2421913  -1.4709742  -2.3381371 ]
 [-2.3956108  -2.0068672  -2.8776596   1.8157421  -2.2256763 ]]",[2 3 4 1 3 1 3 3]
24,"[[-3.9426012  -2.0400412   0.07891496 -2.9269297  -1.7038938 ]
 [-2.0849168  -3.1870828   0.337452   -1.8315092  -1.2139637 ]
 [-2.8789446  -2.321298    1.5503122  -2.2266781  -1.8731027 ]
 [-3.317119   -1.4052787  -0.3704586  -0.24234056  1.7741607 ]
 [-4.1064653  -2.5004835  -0.5715986  -1.7067667  -0.23208825]
 [-4.3767414  -2.2327025  -0.4201362  -0.65426356 -0.44106555]
 [-4.014034   -3.1901367   1.5818925  -1.988142   -3.7015886 ]
 [-2.0450869  -0.5129792  -0.4788881  -1.6611551  -1.4272363 ]]",[2 3 2 4 3 3 2 3]
25,"[[-2.1930242  -0.03100553  0.85734665  1.9379187  -3.4820485 ]
 [-5.103379   -0.9610258  -1.3726188  -1.1767972  -2.1167598 ]
 [-5.34667     1.1370409  -0.47097486 -0.39884654 -2.124644  ]
 [-2.6625435  -3.0103085  -1.3100834  -0.1611248  -2.753209  ]
 [-4.847912   -1.9583561  -1.1105413   0.4774327  -0.06271254]
 [-2.4459147  -1.5115305  -0.05207015 -1.7200286  -0.4936896 ]
 [-4.988279   -0.3633891  -1.6042414  -2.1865559  -2.498203  ]
 [-4.4495206  -2.0659149  -1.228336   -0.0451577  -3.2041736 ]]",[2 1 0 3 1 4 1 4]
26,"[[-4.083167   -1.2455429   0.23354018  0.28785568 -0.75217277]
 [-1.0673085   0.5460855   0.75936985 -0.69692403 -2.3743393 ]
 [-3.802448   -1.3030009   0.3900279   1.3756568  -1.4524338 ]
 [-5.614791   -1.7049612   1.0795524   0.25041485 -1.2460535 ]
 [-3.6043704   0.28964522  0.05305359 -0.14176601 -0.26141343]
 [-3.745828   -1.4726106   0.46350133 -1.1338239  -2.0460095 ]
 [-2.709828    0.21903673  0.20135339 -0.2088219  -3.5081525 ]
 [-2.2545273  -0.86929315  2.737995   -1.0320681  -4.6887364 ]]",[3 2 3 4 4 0 2 2]
27,"[[-1.7321544  -1.4321133   0.38212562 -0.11781415 -1.8804712 ]
 [-4.5532627  -1.5263633  -1.2539803  -0.15695445 -0.05824715]
 [-4.446437   -1.3786565  -1.948158    0.51548755 -0.07599097]
 [-1.8772151  -1.5040092   2.021157   -1.5990188  -1.8901507 ]
 [-2.1181731   0.7779454  -1.4374003   0.47875512 -3.4323595 ]
 [-3.7116866  -0.05887091 -3.74889    -1.4547344  -1.7116164 ]
 [-3.6121562  -1.5980299  -0.83007145 -1.6147499  -0.62740964]
 [-2.9416926  -0.46129465  1.3878024   0.07134871 -3.7520373 ]]",[2 4 1 2 2 1 3 2]
28,"[[-6.292037   -0.8842016  -0.24975832 -1.565779    1.2136036 ]
 [-2.3845713  -2.5592053  -1.9465864  -0.90962034 -0.6383548 ]
 [-2.5029142  -0.383221   -2.2371092  -1.0629072  -0.80609274]
 [-3.9284964  -2.1975956   0.8756353   0.09214219 -0.4817787 ]
 [-1.3775642   2.2666535  -1.6647415  -1.5703437  -3.3652008 ]
 [-3.9499679   0.20782258 -2.0347502  -1.0894917  -0.36123607]
 [-3.5672946  -4.0097966  -0.9020663   1.0626262   0.80728084]
 [-2.1735628  -1.5240344   0.80432504  0.86756116 -0.27836087]]",[3 3 3 3 1 4 4 2]
29,"[[-4.6458178  -1.2660378  -1.0810666   0.6494391  -2.6073227 ]
 [-3.5242028  -0.21696886 -1.772645   -1.8554449   1.9135021 ]
 [-4.601888   -0.300555   -0.74282557  1.3631334   0.5486818 ]
 [-2.96312     0.25948277 -1.0934881   1.4083858  -1.8043349 ]
 [-3.5910807  -2.489751   -1.4890108  -0.7060209  -1.1946081 ]
 [-2.9221108  -1.9837728   0.04306706 -0.89056396 -0.08849579]
 [-3.3870065  -1.5507064  -1.3109254   0.5124282   0.46094042]
 [-1.2246135  -2.1750853  -1.7002316   1.4711174   0.9374381 ]]",[4 3 4 4 3 2 3 3]
30,"[[-4.85748    -1.4313496  -0.80206245 -0.3505223   0.40153134]
 [-4.274279   -0.7366887   1.1566232   0.01380702 -0.6911848 ]
 [-4.132563   -1.7779337  -0.6270309  -0.011591   -1.1187842 ]
 [-3.1377993  -1.1455067   0.7398301  -3.527068   -1.5807964 ]
 [-1.6706976   0.5955695  -2.0444684   0.4248513  -1.1780813 ]
 [-2.960183   -2.27564     0.25534922 -1.4139878  -1.616358  ]
 [-2.8052242  -0.5774598  -0.3061841  -0.6842351  -0.1372265 ]
 [-5.002742   -1.6511841  -1.5981286   0.9973912  -0.81523544]]",[4 4 3 2 1 2 3 3]
31,"[[-2.7008615  -1.3027878  -1.239063   -0.29141337 -1.4326657 ]
 [-3.4941523  -1.8415972  -0.32752323 -0.5978597  -1.774592  ]
 [-3.9648743  -1.2135191   3.2920094  -1.6764122   0.81681544]
 [-2.896182   -1.9645683  -0.19157442  1.4917266   0.4203108 ]
 [-6.456825   -1.4935843   0.7496356  -0.79052824 -0.2144938 ]
 [-4.2052774  -2.178841   -1.1072799  -0.32954365 -0.9545573 ]
 [-1.9790727  -0.5599584   2.6918232  -0.93982136 -0.977149  ]
 [-3.868263   -1.6248776  -2.3938184   0.55137426 -0.45046264]]",[2 3 3 2 2 4 0 1]
32,"[[-2.2598913  -0.11919301 -0.11118235 -0.65129435 -3.607616  ]
 [-3.2392986  -0.19931218 -1.3708761  -0.16385815 -0.948215  ]
 [-4.5606227  -0.8909915   0.19134985  0.655031   -3.057298  ]
 [-3.9692662  -1.3452213   0.20771752  1.6522143  -1.4584289 ]
 [-2.5631256  -3.2048354  -3.3653822   1.0985901  -0.46662137]
 [-5.48133    -2.2245982   0.5890019   0.6845461   0.7382389 ]
 [-3.3469055  -2.863273    0.84963536  0.03343224 -2.5898087 ]
 [-0.5056556  -2.3613088   1.4537516   0.1987834   0.8156504 ]]",[2 4 2 3 3 4 2 4]
33,"[[-5.310927   -0.79719496  1.3051178  -0.33330414 -3.2059083 ]
 [-2.671195    0.9510386  -0.4069944   0.17997162 -3.8886015 ]
 [-4.234262   -1.7070686  -0.51011646 -0.9620417  -0.87121403]
 [-3.495431   -1.9022268   0.22895236 -0.29206467 -2.451679  ]
 [-2.4560225  -2.3578591  -3.462454   -0.8683348  -0.92636615]
 [-3.2791579  -3.7459834   0.7869666  -0.93359613 -2.724604  ]
 [-4.5032983  -0.91347957 -0.44948587  1.070823    1.1175745 ]
 [-4.4208484  -2.7342806   0.8502075  -1.775481   -0.54647493]]",[0 0 3 1 1 3 4 2]
34,"[[-2.4012284  -2.8572102  -1.5036345   0.14701858 -2.3433728 ]
 [-3.883755   -0.05475689  0.1896125   1.8189197  -1.1876843 ]
 [-4.7204065  -0.28178215 -1.6823679   0.09458544 -2.506601  ]
 [-2.8647316  -0.6862037  -0.1679383  -1.1413902  -1.8286616 ]
 [-2.9203315  -1.9745411  -1.7886909   0.6577997  -1.3328189 ]
 [-4.855498   -2.1146467  -1.8516759  -2.559272    0.66785115]
 [-3.7349207  -3.3216987  -0.27099285  0.71140105 -2.1014278 ]
 [-4.662871    0.07889543 -0.97345406  0.702271   -1.204703  ]]",[3 2 1 2 1 4 2 4]
35,"[[-5.5082994  -1.3697332  -0.5301495  -0.85594666 -2.1256745 ]
 [-4.888527   -1.7705852  -2.0185354  -1.5336072  -1.4186425 ]
 [-4.3577995   1.3848091  -0.902602   -0.8999351  -0.71228313]
 [-1.7037585  -1.2961261  -2.540443   -2.006697    0.1694814 ]
 [-1.8647264  -1.4932171  -0.50863904 -0.73712194 -3.0551243 ]
 [-3.8436131  -1.8561581  -1.849767    0.8135784  -1.3773403 ]
 [-5.044698   -1.3727273  -1.8002473  -0.07112019  1.4876139 ]
 [-2.554169   -2.7713668  -1.8541199  -0.5067015   0.8399947 ]]",[4 1 4 4 3 1 4 4]
36,"[[-3.0909262  -2.3942313  -2.3285892  -0.3554101   0.09171457]
 [-3.4841502  -2.55428     0.512485   -0.32254475 -1.3174431 ]
 [-4.887925   -2.5867598  -0.66426     1.0026402  -0.63680613]
 [-3.137654    0.74822015 -1.3681076   1.1556604  -3.2341583 ]
 [-3.144225   -3.2506187  -1.1859943   0.08495954 -3.2436063 ]
 [-2.8945193  -3.7524383  -0.08592268  0.06693336 -1.0624626 ]
 [-2.8888302  -4.914321   -2.084822    1.6549336   0.05051989]
 [-2.3226817  -0.3441127   2.4919043  -1.4974773  -2.6757493 ]]",[4 0 4 1 0 4 3 2]
37,"[[-5.6428776  -2.9412775  -1.3891474   0.5501231   0.22398888]
 [-1.4279747  -1.0165654  -0.4056649   1.0760515   0.23539223]
 [-5.7233095  -1.3343991  -2.871483    0.7634872  -0.83153313]
 [-3.328737   -0.33095202 -3.2872512  -0.4937149  -0.2837225 ]
 [-2.912326   -0.09802421 -0.8769338   1.465624   -0.24546652]
 [-2.3685606   0.5700468  -0.5927206  -1.4420959  -0.89974767]
 [-1.8231411  -2.0016541  -0.83041257 -1.359197   -2.6925237 ]
 [-4.5795627  -1.1309359   0.35660052 -0.543762   -1.3626256 ]]",[3 2 0 1 4 2 2 0]
38,"[[-3.8041284  -0.7825694  -2.0942872  -0.9309989  -1.5248388 ]
 [-3.4655252  -0.25143215 -4.1138444  -1.1638225  -1.3853581 ]
 [-3.1803427  -0.4773512  -2.7483873  -1.6884152  -0.7060028 ]
 [-4.878939   -0.5306627   0.08205385 -0.01184917 -2.1060207 ]
 [-1.6468517  -2.9376955   2.6374462  -1.89914    -0.5625215 ]
 [-2.4692855  -1.1476192   0.45870584 -3.1198325  -2.7914553 ]
 [-5.172921   -2.4013486  -1.2979696  -0.85285795 -1.2708086 ]
 [-2.701132   -1.7567065  -2.7593582   0.15160301  1.5375485 ]]",[1 1 1 1 2 2 4 4]
39,"[[-4.3146005  -0.17136106  0.17553872  0.18505587  0.24268821]
 [-4.9322877  -1.4940113  -0.60556537 -2.1155047   0.3205511 ]
 [-3.5860014  -3.293766   -0.4672692  -1.249277   -0.300222  ]
 [-3.9031594  -2.3471074   1.2260433  -2.0467925  -1.4439329 ]
 [-3.2223284  -1.9194287  -2.3582776  -2.0002038   0.19054297]
 [-3.3910708  -0.2851941   0.67351687 -3.849938   -1.0233834 ]
 [-2.615342   -0.29451573 -3.7298832  -1.3185996  -3.2146177 ]
 [-2.9709902  -2.348195   -2.5457933  -1.2758895  -0.8587503 ]]",[4 4 3 2 1 1 1 1]
40,"[[-5.884279   -3.1986547  -3.8202293  -0.42633438 -1.3649224 ]
 [-4.814357   -0.51503545 -2.7029486  -1.1145046  -1.1339487 ]
 [-2.9334157   0.19724417 -1.7987037  -0.30617523 -0.707971  ]
 [-1.5251073  -1.266842   -3.1813152  -1.1496072  -1.3966635 ]
 [-4.1547976  -1.5854802  -0.6195703  -2.3649936  -1.1433604 ]
 [-2.4558568  -0.54618055  0.16878404  0.5238893  -1.1809217 ]
 [-4.5422854  -0.19301805 -2.6131823  -2.7419972  -0.85977465]
 [-3.1849318   0.2516414  -1.7916238  -0.3155922  -2.0704746 ]]",[3 1 1 4 1 2 1 0]
41,"[[-3.267227   -2.0113165   0.03089171 -3.441258   -2.8235772 ]
 [-3.2880554  -2.611522   -4.0806284  -1.3533708   0.23545621]
 [-0.50307596 -1.3361917   0.7205001  -1.0413758  -3.220398  ]
 [-1.1604434  -3.9111702  -2.808204    0.8409844   2.1975367 ]
 [-1.3858987  -0.71648467 -1.07539    -1.4554251  -1.7294757 ]
 [-0.6225324  -3.883434   -0.38275918 -2.1662078   0.39218348]
 [-2.3758938  -1.4057133  -2.0354998  -1.3076973   0.68637353]
 [-3.9171011  -1.2229737  -1.3123211  -2.1836753   0.03811668]]",[2 3 2 4 2 0 4 4]
